
2024/01/30 (18:49:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/01/30 (18:49:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/01/30 (18:49:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/01/31 (11:18:36) | ===> btop++ v.1.3.0
2024/01/31 (11:18:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/31 (11:18:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/01/31 (11:18:37) | WARNING: ROCm SMI: Failed to get device name
2024/01/31 (11:18:37) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/01/31 (11:18:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/31 (11:18:37) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/01/31 (11:18:37) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/01/31 (11:18:37) | WARNING: ROCm SMI: Failed to get PCIe throughput
